"Cód..Curso","Curso","Aluno","CH.integralizada","Faixa.CH..","CRA","Faixa.CRA","Semestres","Anos","MC","MCN","IEA","IEAN","Amostra"
"11104120","DESIGN - D","ae55c7951e0e9fb1750cb0ff95a4058c","3395","80-100","5,679","4-6","18","9","7,561","467,144","2,658","164,258","115"
"11104120","DESIGN - D","079709eff151b4bcaa65f4f159f8f03b","3385","80-100","7,154","6-8","17","8","7,969","551,916","3,011","208,564","115"
"11104120","DESIGN - D","bd3a501e364f8583f75273a998a6a74c","3085","80-100","5,405","4-6","16","8","7,253","403,281","2,51","139,562","115"
"11104120","DESIGN - D","a86cbb2a496b22c5b769fdb197f7d17a","3265","80-100","6,352","6-8","15","7","7,176","387,322","3,305","178,37","115"
"11104120","DESIGN - D","ee7e5c3977dd249fb65de22df0d543fd","3320","80-100","6,532","6-8","15","7","7,235","399,47","3,441","189,982","115"
"11104120","DESIGN - D","74c21f04716e0c1416a2317d42082fa3","3515","80-100","5,548","4-6","15","7","7,0","350,738","2,561","128,345","115"
"11104120","DESIGN - D","d8874d9ca2aeae93ed068e151fc72f1f","2510","80-100","5,83","4-6","14","7","7,476","449,588","2,741","164,826","115"
"11104120","DESIGN - D","4ff38196aab12f9fd33b28dc8ce4890b","3205","80-100","5,595","4-6","14","7","7,07","365,307","2,876","148,597","115"
"11104120","DESIGN - D","51e689107855d60e9da58b5001149bde","3385","80-100","6,649","6-8","13","6","7,358","424,994","3,911","225,912","115"
"11104120","DESIGN - D","dc93ebdbb1e21b0fa92a1b2e271d96e6","3460","80-100","7,473","6-8","13","6","8,061","570,938","4,445","314,86","115"
"11104120","DESIGN - D","beed3b65049921affa9f61039d4a55e5","3055","80-100","5,887","4-6","11","5","7,282","409,198","2,842","159,701","115"
"11104120","DESIGN - D","8c1c8fd07232f76e858183b4328b7577","2020","60-80","7,246","6-8","12","6","7,919","541,481","4,068","278,177","115"
"11104120","DESIGN - D","0aec2a86438ac0ce6b52cfb3af97be87","3160","80-100","6,565","6-8","12","6","7,318","416,781","3,493","198,927","115"
"11104120","DESIGN - D","b19c9435292299f5d6da29347bb61ad2","3425","80-100","6,78","6-8","12","6","7,675","490,972","3,796","242,84","115"
"11104120","DESIGN - D","ffa0f215e22697ca068fc74e90f9f4f9","3245","80-100","8,755","8-10","11","5","8,755","715,045","6,152","502,486","115"
"11104120","DESIGN - D","36c8bcf30e75cb7fb9dd0582d4c1ccad","3245","80-100","8,223","8-10","11","5","8,459","653,639","5,141","397,278","115"
"11104120","DESIGN - D","6c559f685e5f1d2c1741c1655d0c5a7e","2410","60-80","6,592","6-8","11","5","7,793","515,355","3,097","204,841","115"
"11104120","DESIGN - D","9035a6c152f529347d76b438b699eeff","3440","80-100","8,346","8-10","11","5","8,424","646,306","5,722","439,011","115"
"11104120","DESIGN - D","5f635685410e57bcfffb247ac5c71efe","2035","40-60","4,765","4-6","11","5","6,8","309,306","1,546","70,32","115"
"11104120","DESIGN - D","25276d299a3ab965a0c5327abdd0dc2c","2555","60-80","7,325","6-8","11","5","8,118","582,832","4,403","316,101","115"
"11104120","DESIGN - D","651e572c8c904c067ac0791b5607fb49","3705","80-100","7,829","6-8","11","5","7,889","535,273","5,572","378,051","115"
"11104120","DESIGN - D","62a4f79e087512389a3fb20311958625","3555","80-100","7,535","6-8","11","5","7,669","489,725","5,233","334,174","115"
"11104120","DESIGN - D","f715ddc4fbaa30b080cfc59051fa4be3","2935","80-100","6,546","6-8","11","5","7,836","524,386","3,556","237,93","115"
"11104120","DESIGN - D","a9999c1745515c825301b12067c0095e","3470","80-100","7,004","6-8","11","5","7,739","504,173","2,553","166,302","115"
"11104120","DESIGN - D","f5128c0b93a66ae2430b553d7c231154","2020","60-80","7,037","6-8","10","5","7,976","553,4","3,306","229,401","115"
"11104120","DESIGN - D","38e90457a71d8b2ac73f821edd66ba5a","1990","60-80","6,008","6-8","10","5","7,401","433,898","2,836","166,279","115"
"11104120","DESIGN - D","ffc60e6fb03c13b45f5173b1cd72f3d8","3310","80-100","7,793","6-8","10","5","8,231","606,304","5,839","430,124","115"
"11104120","DESIGN - D","f250b550afd05ad280578277a8cc3fd2","2280","80-100","6,98","6-8","10","5","7,835","524,102","3,885","259,857","115"
"11104120","DESIGN - D","841371a377dae6f45240ed6a442e296d","3130","80-100","6,859","6-8","10","5","7,489","452,196","4,514","272,57","115"
"11104120","DESIGN - D","526aa1fba5968050b229ab0c7431730d","2510","80-100","7,663","6-8","10","5","7,943","546,59","5,045","347,174","115"
"11104120","DESIGN - D","c8ccf07061cde62850eb19a9cd99afd1","3395","80-100","8,433","8-10","10","5","8,508","663,735","6,432","501,757","115"
"11104120","DESIGN - D","42349ae493de47ce967937506d59c7a0","2830","80-100","6,809","6-8","10","5","7,797","516,141","4,068","269,304","115"
"11104120","DESIGN - D","c30a23b7a18303d522a9063488512d76","3510","80-100","8,69","8-10","10","5","8,764","716,851","6,418","525,011","115"
"11104120","DESIGN - D","2176bb52060e05fb00d16cbafd469799","1950","60-80","5,923","4-6","9","4","6,998","350,342","2,947","147,547","115"
"11104120","DESIGN - D","027f5a561d6d625163f19351eb30135f","2860","80-100","6,826","6-8","9","4","7,832","523,419","4,698","313,973","115"
"Cód. Curso","Curso","03295e86cf4413e51f8ab1132949c3bb","CH integralizada","Faixa CH %","CRA","Faixa CRA","Semestres","Anos","MC","MCN","IEA","IEAN","Amostra"
"11104120","DESIGN - D","ae19f6a86aa9fe63f099501b460c264d","2240","80-100","6,837","6-8","9","4","7,436","441,299","4,133","245,244","115"
"11104120","DESIGN - D","1bdafc5e1724952fb66bbfa7eebb7eb6","3485","80-100","7,373","6-8","9","4","7,742","504,88","5,973","389,497","115"
"11104120","DESIGN - D","cc3f524ecfaa14a9ab36e4e33e6dff1e","1840","40-60","5,193","4-6","9","4","6,934","337,005","1,893","91,99","115"
"11104120","DESIGN - D","fdd0883edecdfeb3e8a4bafb2f6c59ed","1730","60-80","5,209","4-6","9","4","7,163","384,602","2,402","128,943","115"
"11104120","DESIGN - D","abcf1f44b697a15773b92d14a2a98b49","2020","40-60","5,523","4-6","9","4","6,567","260,863","2,275","90,367","115"
"11104120","DESIGN - D","6e20bd4baae7d17f15efc7f6786dffc0","3253","80-100","6,675","6-8","9","4","7,454","445,03","5,23","312,241","115"
"11104120","DESIGN - D","fad74f6b7bcbb93c93ea6fbebd4739a9","1100","20-40","3,878","2-4","9","4","7,061","363,41","1,182","60,841","115"
"11104120","DESIGN - D","4ec3a6943fed4ce3b74b0b7cb4da5b36","1990","60-80","6,17","6-8","9","4","7,475","449,335","3,407","204,78","115"
"11104120","DESIGN - D","e115093f689dafde1bd07a736808f0f8","3005","80-100","8,025","8-10","9","4","8,121","583,475","6,077","436,576","115"
"11104120","DESIGN - D","7887001668a440ffc507de5c7698dacf","1890","60-80","6,398","6-8","8","4","6,921","334,404","3,794","183,293","115"
"11104120","DESIGN - D","bccdd861f255c5e41612d0fbb804360d","2310","80-100","7,808","6-8","8","4","7,952","548,269","5,934","409,141","115"
"11104120","DESIGN - D","cdb3a162f9c62699b401ef2249ca978a","1830","60-80","7,053","6-8","8","4","7,573","469,635","4,182","259,341","115"
"11104120","DESIGN - D","ace394c41221cd496d5176b8628d141d","1870","40-60","5,425","4-6","8","4","7,112","374,077","2,45","128,878","115"
"11104120","DESIGN - D","eba6d3351fc27447b3cf4155972bc103","2110","60-80","7,04","6-8","8","4","7,636","482,881","4,581","289,65","115"
"11104120","DESIGN - D","99b40d8addf460bfba4b84ba54970399","1890","60-80","6,018","6-8","8","4","7,338","420,977","3,437","197,159","115"
